% f=7.00Hz  Gain=3.2365(10.20dB)  Phase=-68.79deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        1.8200000000        -0.4491120278         2.0735155161        -0.1206744935
        1.8250000000        -0.4444597533         2.0759860548        -0.0541871692
        1.8300000000        -0.4183994186         2.0897850235        -0.3866237904
        1.8350000000        -0.3721862584         2.1140900617        -3.0461167594
        1.8400000000        -0.3080461977         2.1474827743        -1.3174463296
        1.8450000000        -0.2290686371         2.1880745525        -1.4504209780
        1.8500000000        -0.1390576475         2.2336583516        -1.9158322476
        1.8550000000        -0.0423487410         2.5000000000        -1.9158322476
        1.8600000000         0.0563999551         2.5000000000        -1.2509590053
        1.8650000000         0.1524320641         2.7663461016        -1.7163702749
        1.8700000000         0.2411220577         2.8177909897        -0.7855477357
        1.8750000000         0.3181980515         2.8630574660         0.3447367761
        1.8800000000         0.3799475665         2.8997104714         0.0787874792
        1.8850000000         0.4233963460         2.9257132345        -0.2536491419
        1.8900000000         0.4464516156         2.9395838824         0.0123001550
        1.8950000000         0.4480028841         2.9405189971        -0.1871618177
        1.9000000000         0.4279754323         2.9284640853        -0.1206744935
        1.9050000000         0.3873339122         2.9041184475         0.6106860730
        1.9100000000         0.3280358823         2.8688735555         2.5388184756
        1.9150000000         0.2529375200         2.8246959675         1.3420466395
        1.9200000000         0.1656560487         2.7739740854         1.4085339637
        1.9250000000         0.0703955093         2.7193505720         1.6079959364
        1.9300000000        -0.0282557338         2.5000000000         1.4750212880
        1.9350000000        -0.1255459977         2.2404405169         0.8766353699
        1.9400000000        -0.2167891533         2.1943351039         1.0760973426
        1.9450000000        -0.2975903394         2.1528896025        -0.1206744935
        1.9500000000        -0.3640576475         2.1183436887        -0.1871618177
        1.9550000000        -0.4129895816         2.0926410687         0.1452748034
        1.9600000000        -0.4420292628         2.0772758738        -0.0541871692
        1.9650000000        -0.4497779522         2.0731617060        -0.1206744935
        1.9700000000        -0.4358624225         2.0805458483         0.0787874792
        1.9750000000        -0.4009529359         2.0989852816        -0.7855477357
